Workers,Images,Transformation,Time
4,100,'PCA',0:02:46.789613
4,100,'StandardScaler + PCA',0:02:58.568791
4,200,'PCA',0:04:27.171594
4,200,'StandardScaler + PCA',0:05:14.625391
4,300,'PCA',0:06:07.529179
4,300,'StandardScaler + PCA',0:07:19.803471
4,500,'PCA',0:09:43.512375
4,500,'StandardScaler + PCA',0:11:15.752832
4,1000,'PCA',0:17:48.887594
4,1000,'StandardScaler + PCA',0:21:02.903975
3,100,'PCA',0:03:11.228103
3,100,'StandardScaler + PCA',0:03:23.009464
3,200,'PCA',0:04:40.041670
3,200,'StandardScaler + PCA',0:05:35.022778
3,300,'PCA',0:06:22.821452
3,300,'StandardScaler + PCA',0:07:43.270897
3,500,'PCA',0:10:24.119202
3,500,'StandardScaler + PCA',0:11:50.356010
3,1000,'PCA',0:18:19.816226
3,1000,'StandardScaler + PCA',0:22:49.575278
2,100,'PCA',0:03:31.039116
2,100,'StandardScaler + PCA',0:03:56.565548
2,200,'PCA',0:05:16.121301
2,200,'StandardScaler + PCA',0:06:16.720822
2,300,'PCA',0:07:12.728817
2,300,'StandardScaler + PCA',0:08:47.584888
2,500,'PCA',0:11:13.148863
2,500,'StandardScaler + PCA',0:13:33.711826
2,1000,'PCA',0:21:10.473133
2,1000,'StandardScaler + PCA',0:26:12.606357
1,100,'PCA',0:04:06.865010
1,100,'StandardScaler + PCA',0:04:47.545480
1,200,'PCA',0:06:39.903471
1,200,'StandardScaler + PCA',0:08:21.441782
1,300,'PCA',0:09:24.946327
1,300,'StandardScaler + PCA',0:11:56.430357
1,500,'PCA',0:15:21.642477
1,500,'StandardScaler + PCA',0:19:28.147749
1,1000,'PCA',0:29:18.071060
1,1000,'StandardScaler + PCA',0:37:39.949421
